,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,display_size,warranty,msoffice,latest_price
207,HP,14a,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,344.10999999999996
208,HP,Chromebook,Intel,Celeron Dual,Missing,4,DDR4,0,512,Windows,64,0,Casual,Missing,0,No,363.87
209,Lenovo,Celeron,Intel,Celeron Dual,Missing,4,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,389.98699999999997
210,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,LPDDR4X,0,512,Windows,64,0,Casual,Missing,0,No,337.87
211,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,220.86999999999998
212,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,LPDDR4,0,512,Windows,32,0,Casual,Missing,0,No,324.87
213,acer,Predator,Intel,Core,Missing,4,DDR4,0,512,Windows,32,0,Casual,Missing,0,No,1299.87
214,acer,Aspire,Intel,Core i5,Missing,8,DDR5,0,512,Windows,32,4,Casual,Missing,0,No,662.87
215,acer,Spin,Intel,Core i5,Missing,8,LPDDR4,0,512,Windows,32,0,Casual,Missing,1,No,1559.87
216,acer,Swift,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32,0,Casual,Missing,0,No,1224.47
217,ASUS,ROG,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32,4,Casual,Missing,0,No,1380.171
218,DELL,Missing,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32,4,Casual,Missing,1,No,885.17
219,DELL,XPS,Intel,Core i5,10th,8,LPDDR4,0,512,DOS,32,0,ThinNlight,Missing,1,No,1819.87
